"RelativePath","DestinationPath","FileName","Length","LastWriteUtc","Action"
"1966\Document_20260717_0002.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1966\Document_20260717_0002.jpg","Document_20260717_0002.jpg","2675034","2026-07-17T16:30:35.0000000Z","REVIEW ONLY - DO NOT DELETE YET"
"1967\1967_0001_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1967\1967_0001_a.jpg","1967_0001_a.jpg","19411864","2026-07-17T16:17:21.0000000Z","REVIEW ONLY - DO NOT DELETE YET"
"1967\1967_0002_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1967\1967_0002_a.jpg","1967_0002_a.jpg","20758903","2026-07-17T16:17:21.0000000Z","REVIEW ONLY - DO NOT DELETE YET"
"1967\1967_0003_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1967\1967_0003_a.jpg","1967_0003_a.jpg","24326469","2026-07-17T16:17:21.0000000Z","REVIEW ONLY - DO NOT DELETE YET"
"1967\Document_20260717_0001.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1967\Document_20260717_0001.jpg","Document_20260717_0001.jpg","7712246","2026-07-17T16:17:21.0000000Z","REVIEW ONLY - DO NOT DELETE YET"
"1970s_0014_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1970s_0014_a.jpg","1970s_0014_a.jpg","910264","2026-08-17T00:13:06.6307153Z","REVIEW ONLY - DO NOT DELETE YET"
"1971 Drill Team.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1971 Drill Team.jpg","1971 Drill Team.jpg","1311919","2026-08-17T00:13:06.2380348Z","REVIEW ONLY - DO NOT DELETE YET"
"1971 Perfect Attendance.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1971 Perfect Attendance.jpg","1971 Perfect Attendance.jpg","1285496","2026-08-17T00:12:56.5961920Z","REVIEW ONLY - DO NOT DELETE YET"
"1972 Scholastic Achievement.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1972 Scholastic Achievement.jpg","1972 Scholastic Achievement.jpg","1437504","2026-08-17T00:13:06.1540143Z","REVIEW ONLY - DO NOT DELETE YET"
"1972_0003_Dickey_Bell.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1972_0003_Dickey_Bell.jpg","1972_0003_Dickey_Bell.jpg","861050","2026-08-17T00:13:06.6554690Z","REVIEW ONLY - DO NOT DELETE YET"
"1972_Dickey_Bell_0002.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1972_Dickey_Bell_0002.jpg","1972_Dickey_Bell_0002.jpg","874512","2026-08-17T00:12:56.9749304Z","REVIEW ONLY - DO NOT DELETE YET"
"1972_Dickey_Bell_0003.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1972_Dickey_Bell_0003.jpg","1972_Dickey_Bell_0003.jpg","744749","2026-08-17T00:13:06.7834363Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0001.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0001.jpg","1973_0001.jpg","1003459","2026-08-17T00:13:06.5219070Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0003_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0003_a.jpg","1973_0003_a.jpg","926096","2026-08-17T00:13:06.5929640Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0004.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0004.jpg","1973_0004.jpg","806921","2026-08-17T00:13:06.7335285Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0005.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0005.jpg","1973_0005.jpg","797496","2026-08-17T00:13:06.7501554Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0006.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0006.jpg","1973_0006.jpg","924813","2026-08-17T00:12:56.9332364Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0007_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0007_a.jpg","1973_0007_a.jpg","1542773","2026-08-17T00:13:06.1384010Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_0008_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_0008_a.jpg","1973_0008_a.jpg","1343531","2026-08-17T00:12:56.5503161Z","REVIEW ONLY - DO NOT DELETE YET"
"1973_January_0001_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1973_January_0001_a.jpg","1973_January_0001_a.jpg","1160939","2026-08-17T00:13:06.3761642Z","REVIEW ONLY - DO NOT DELETE YET"
"1974 Cadet LTC.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974 Cadet LTC.jpg","1974 Cadet LTC.jpg","560407","2026-08-17T00:12:57.3200040Z","REVIEW ONLY - DO NOT DELETE YET"
"1974 Drill Team.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974 Drill Team.jpg","1974 Drill Team.jpg","1401747","2026-08-17T00:13:06.1851791Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0001.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0001.jpg","1974_0001.jpg","697575","2026-08-17T00:12:57.1360266Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0003.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0003.jpg","1974_0003.jpg","1136556","2026-08-17T00:12:56.7469143Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0005_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0005_a.jpg","1974_0005_a.jpg","1440587","2026-08-17T00:12:56.4671917Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0006_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0006_a.jpg","1974_0006_a.jpg","1167857","2026-08-17T00:12:56.7016760Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0007.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0007.jpg","1974_0007.jpg","844179","2026-08-17T00:13:06.6690913Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0008_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0008_a.jpg","1974_0008_a.jpg","1568516","2026-08-17T00:12:56.4050770Z","REVIEW ONLY - DO NOT DELETE YET"
"1974_0009.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1974_0009.jpg","1974_0009.jpg","1041856","2026-08-17T00:12:56.8046252Z","REVIEW ONLY - DO NOT DELETE YET"
"1976_0001_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1976_0001_a.jpg","1976_0001_a.jpg","1289890","2026-08-17T00:13:06.2679132Z","REVIEW ONLY - DO NOT DELETE YET"
"1976_0002.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1976_0002.jpg","1976_0002.jpg","918227","2026-08-17T00:13:06.6186258Z","REVIEW ONLY - DO NOT DELETE YET"
"1979 Rickey and Dickey.png","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1979 Rickey and Dickey.png","1979 Rickey and Dickey.png","2973894","2026-08-17T00:13:05.9980498Z","REVIEW ONLY - DO NOT DELETE YET"
"1980s_0009_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0009_a.jpg","1980s_0009_a.jpg","927631","2026-08-17T00:12:56.9200293Z","REVIEW ONLY - DO NOT DELETE YET"
"1980s_0027_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0027_a.jpg","1980s_0027_a.jpg","1443355","2026-08-17T00:12:56.4475528Z","REVIEW ONLY - DO NOT DELETE YET"
